product_id,product_name,category,price,cost
1,Centralized secondary application,Books,379.9,179.3
2,Implemented upward-trending concept,Clothing,915.3,540.62
3,Secured full-range implementation,Electronics,867.04,672.59
4,Adaptive content-based algorithm,Books,374.83,263.8
5,Versatile clear-thinking policy,Books,887.21,567.07
6,Exclusive systemic ability,Home,494.99,297.63
7,Reduced global middleware,Beauty,23.94,14.94
8,Pre-emptive secondary contingency,Beauty,435.03,219.29
9,Assimilated composite algorithm,Books,185.27,74.72
10,Visionary local help-desk,Electronics,738.72,377.95
11,Distributed actuating adapter,Beauty,583.59,296.52
12,Team-oriented context-sensitive Graphic Interface,Clothing,509.59,382.77
13,Multi-channeled hybrid policy,Electronics,896.16,702.37
14,Extended attitude-oriented migration,Sports,216.03,111.6
15,Optional 24hour Internet solution,Beauty,567.08,435.96
16,Triple-buffered cohesive definition,Clothing,149.36,77.64
17,Sharable zero tolerance budgetary management,Clothing,626.93,406.09
18,Future-proofed disintermediate moderator,Clothing,239.81,98.36
19,Polarized executive framework,Electronics,646.32,467.91
20,Focused modular encryption,Sports,465.6,272.99
21,Adaptive grid-enabled emulation,Books,516.91,305.42
22,Multi-channeled reciprocal instruction set,Beauty,453.15,276.74
23,De-engineered mobile installation,Electronics,323.55,223.61
24,Front-line 24/7 alliance,Home,130.25,64.08
25,User-centric optimizing matrix,Sports,156.65,77.9
26,Multi-tiered well-modulated emulation,Books,878.6,528.42
27,Visionary scalable contingency,Clothing,895.11,712.64
28,Inverse client-driven knowledgebase,Beauty,200.25,104.43
29,Switchable dynamic portal,Books,983.12,642.19
30,Organic human-resource matrix,Electronics,582.51,444.76
31,Visionary empowering neural-net,Books,30.96,20.51
32,Reactive background emulation,Beauty,502.05,284.38
33,Reduced bandwidth-monitored focus group,Electronics,26.74,15.15
34,Digitized 24/7 emulation,Electronics,759.72,501.49
35,Proactive high-level time-frame,Books,319.36,189.93
36,Object-based reciprocal function,Books,978.79,541.4
37,Cloned fault-tolerant encryption,Electronics,593.23,309.09
38,Cloned exuding algorithm,Home,276.09,217.79
39,Customer-focused disintermediate parallelism,Sports,621.38,349.96
40,Progressive next generation leverage,Books,219.17,107.18
41,Total next generation function,Electronics,268.59,179.98
42,Diverse reciprocal hub,Beauty,636.98,321.77
43,Front-line tertiary time-frame,Clothing,45.39,29.5
44,Exclusive uniform Local Area Network,Electronics,260.04,114.68
45,Customer-focused multimedia parallelism,Sports,616.47,432.58
46,Function-based web-enabled contingency,Electronics,30.31,20.4
47,Public-key executive access,Clothing,647.09,277.72
48,Public-key tangible product,Home,822.91,607.89
49,Public-key well-modulated time-frame,Books,604.73,347.07
50,Profit-focused high-level installation,Electronics,208.76,120.26
51,Synergistic directional middleware,Books,132.07,53.59
52,Advanced contextually-based protocol,Books,128.04,85.97
53,Quality-focused zero-defect groupware,Home,74.55,38.41
54,Distributed asymmetric collaboration,Sports,915.88,512.01
55,Virtual actuating application,Beauty,628.67,476.31
56,Horizontal secondary array,Electronics,889.31,656.34
57,Open-architected encompassing neural-net,Sports,485.45,248.59
58,Total high-level strategy,Books,62.59,35.48
59,Cross-group holistic help-desk,Clothing,236.83,180.12
60,Re-contextualized impactful firmware,Books,835.58,605.12
61,Quality-focused mission-critical alliance,Clothing,829.78,461.91
62,Ergonomic client-driven capability,Electronics,916.32,519.9
63,Programmable maximized access,Beauty,351.12,205.31
64,Front-line reciprocal hierarchy,Electronics,30.98,18.75
65,Upgradable 6thgeneration success,Clothing,249.99,106.48
66,Synchronized neutral toolset,Home,765.03,449.63
67,Reactive neutral model,Home,445.26,299.09
68,Grass-roots composite utilization,Books,475.8,237.98
69,Focused static hierarchy,Books,892.14,409.5
70,Secured empowering access,Electronics,105.58,47.99
71,Devolved upward-trending website,Electronics,634.1,258.35
72,Cloned incremental orchestration,Sports,889.76,686.64
73,Quality-focused system-worthy analyzer,Sports,720.26,480.32
74,Optimized neutral architecture,Home,252.39,153.58
75,Focused global product,Books,180.38,133.56
76,Networked demand-driven software,Books,433.13,208.8
77,Universal human-resource circuit,Sports,790.67,515.31
78,Digitized encompassing software,Beauty,976.22,656.38
79,Horizontal intermediate throughput,Beauty,898.27,684.97
80,Enterprise-wide interactive groupware,Beauty,786.22,472.46
81,Multi-lateral incremental capability,Sports,174.65,76.23
82,Multi-lateral static matrix,Clothing,682.16,337.88
83,Switchable local capacity,Beauty,876.37,571.73
84,Focused global protocol,Electronics,478.25,342.5
85,Monitored attitude-oriented matrices,Books,201.8,111.36
86,De-engineered maximized focus group,Clothing,388.97,256.36
87,Team-oriented neutral frame,Books,457.22,289.08
88,Persevering radical software,Home,775.36,440.12
89,Enterprise-wide maximized analyzer,Books,26.75,13.63
90,Multi-channeled optimal policy,Clothing,510.98,269.42
91,Fundamental even-keeled implementation,Electronics,274.04,127.16
92,Cross-platform local definition,Sports,789.45,580.73
93,Intuitive directional initiative,Sports,932.11,467.14
94,Centralized intangible strategy,Home,50.08,38.51
95,Profit-focused executive frame,Beauty,669.61,402.14
96,Proactive upward-trending software,Clothing,874.65,444.69
97,Adaptive interactive success,Electronics,311.2,213.29
98,Total mobile function,Books,926.95,386.34
99,Adaptive real-time support,Electronics,476.37,200.84
100,Cloned systemic complexity,Beauty,366.72,203.04
101,Networked 4thgeneration collaboration,Sports,438.01,301.18
102,Sharable motivating knowledgebase,Books,501.8,297.11
103,Sharable actuating adapter,Home,627.5,402.54
104,Up-sized local system engine,Home,802.41,640.97
105,Cloned bi-directional algorithm,Home,461.31,337.48
106,Optimized explicit migration,Electronics,117.91,80.8
107,Business-focused well-modulated circuit,Books,172.39,111.65
108,Vision-oriented content-based circuit,Clothing,152.25,100.95
109,Multi-channeled systematic system engine,Books,884.29,478.94
110,Profound hybrid open system,Books,822.7,508.16
111,Secured responsive migration,Beauty,162.82,120.2
112,Ameliorated analyzing time-frame,Clothing,912.12,499.11
113,Quality-focused national attitude,Sports,86.86,59.91
114,Horizontal multi-tasking framework,Books,908.95,365.16
115,Quality-focused scalable portal,Books,648.87,512.97
116,Integrated human-resource software,Sports,288.45,137.63
117,Managed empowering archive,Clothing,395.47,225.75
118,Total asymmetric contingency,Sports,559.15,381.47
119,Grass-roots transitional conglomeration,Beauty,198.9,143.25
120,Digitized radical installation,Electronics,261.26,186.7
121,Centralized interactive throughput,Home,974.14,551.0
122,Secured attitude-oriented encryption,Books,240.4,180.06
123,Realigned contextually-based toolset,Home,714.94,387.16
124,Upgradable bottom-line leverage,Clothing,340.28,158.76
125,Universal cohesive support,Home,788.5,630.26
126,Visionary regional functionalities,Beauty,782.72,439.09
127,Digitized system-worthy archive,Electronics,742.11,339.01
128,Realigned incremental Internet solution,Electronics,707.75,406.14
129,Organic multi-state circuit,Home,493.21,198.87
130,Extended stable paradigm,Books,497.16,238.89
131,Open-source mission-critical Graphic Interface,Beauty,291.83,212.58
132,Optional uniform knowledgebase,Clothing,441.15,286.33
133,Open-source tertiary hub,Beauty,656.23,303.63
134,Reduced explicit software,Beauty,744.1,561.87
135,Realigned hybrid definition,Electronics,958.09,384.06
136,Organized next generation leverage,Electronics,386.44,208.09
137,Stand-alone stable moderator,Books,344.9,155.14
138,Monitored full-range parallelism,Beauty,970.89,583.79
139,Up-sized leadingedge budgetary management,Clothing,470.14,299.29
140,Configurable zero administration model,Home,636.67,385.33
141,Secured mission-critical solution,Books,815.88,342.55
142,De-engineered executive structure,Home,856.54,429.72
143,Programmable bifurcated moderator,Sports,863.46,352.03
144,Upgradable leadingedge adapter,Sports,826.96,653.5
145,Optional dedicated data-warehouse,Sports,869.64,520.79
146,Polarized responsive monitoring,Sports,811.25,501.47
147,Persevering empowering intranet,Home,60.69,32.36
148,Distributed tertiary installation,Electronics,405.96,319.77
149,Visionary zero-defect intranet,Clothing,612.6,292.99
150,Up-sized didactic concept,Home,973.25,494.13
151,Networked value-added model,Home,594.68,279.92
152,Customizable discrete instruction set,Books,866.34,675.86
153,Cloned global protocol,Books,81.7,63.33
154,Upgradable reciprocal definition,Home,827.41,457.65
155,Open-architected fault-tolerant application,Books,165.7,103.35
156,Polarized system-worthy infrastructure,Beauty,195.54,115.74
157,Devolved 6thgeneration standardization,Sports,748.28,533.06
158,Self-enabling context-sensitive service-desk,Books,842.05,588.33
159,Public-key coherent structure,Books,848.45,623.69
160,Assimilated mission-critical function,Sports,161.22,128.94
161,Self-enabling optimizing Graphic Interface,Sports,673.65,514.1
162,Triple-buffered reciprocal installation,Clothing,369.56,221.84
163,Enterprise-wide user-facing focus group,Sports,461.39,312.59
164,Cross-group secondary encryption,Beauty,761.97,601.3
165,Vision-oriented client-server focus group,Clothing,273.99,137.59
166,Mandatory radical superstructure,Beauty,617.39,364.5
167,Customer-focused uniform capacity,Home,993.84,636.13
168,Front-line systematic archive,Electronics,291.22,154.61
169,Horizontal stable software,Beauty,296.84,148.63
170,Configurable encompassing concept,Electronics,376.62,175.99
171,Configurable grid-enabled model,Sports,430.38,262.57
172,Digitized global extranet,Beauty,974.29,660.97
173,Vision-oriented global support,Electronics,942.72,416.03
174,Vision-oriented systemic website,Beauty,61.57,38.72
175,Decentralized eco-centric definition,Electronics,854.48,386.98
176,Integrated didactic moratorium,Clothing,716.78,547.72
177,Digitized grid-enabled approach,Clothing,333.47,198.38
178,Centralized multi-tasking superstructure,Clothing,361.88,252.99
179,Multi-tiered systematic portal,Clothing,259.81,112.48
180,Visionary optimizing capacity,Home,610.46,448.3
181,Automated grid-enabled architecture,Sports,816.41,431.67
182,Centralized content-based extranet,Books,254.01,182.55
183,Team-oriented zero-defect archive,Clothing,604.14,389.59
184,Multi-lateral optimizing framework,Home,174.88,111.23
185,Versatile regional time-frame,Clothing,305.06,218.39
186,Switchable well-modulated challenge,Beauty,223.07,155.18
187,Universal needs-based core,Books,324.83,229.53
188,Horizontal optimal forecast,Beauty,722.02,436.93
189,Distributed multi-state encryption,Electronics,715.9,445.59
190,Multi-channeled client-driven intranet,Electronics,333.71,237.64
191,Centralized intangible access,Sports,336.81,218.29
192,Organized mission-critical project,Books,548.76,268.65
193,Upgradable solution-oriented archive,Beauty,941.85,750.51
194,Grass-roots radical matrices,Sports,98.72,55.79
195,Object-based explicit circuit,Clothing,766.6,443.24
196,Focused hybrid pricing structure,Beauty,716.93,295.6
197,Customer-focused modular project,Beauty,750.91,556.72
198,Balanced disintermediate time-frame,Sports,404.17,258.16
199,De-engineered fault-tolerant conglomeration,Electronics,433.56,173.97
200,Enterprise-wide discrete forecast,Sports,959.98,698.68
201,Cloned logistical projection,Books,827.05,387.34
202,Persevering optimizing structure,Home,318.01,179.29
203,Visionary coherent task-force,Electronics,953.54,494.51
204,Team-oriented value-added artificial intelligence,Beauty,167.69,94.03
205,Synergistic bi-directional knowledgebase,Clothing,579.96,382.66
206,Centralized 5thgeneration hierarchy,Clothing,82.32,56.31
207,Diverse executive functionalities,Home,29.82,13.33
208,Secured hybrid access,Home,958.67,744.29
209,Secured 4thgeneration attitude,Electronics,525.94,358.71
210,Diverse web-enabled leverage,Sports,851.8,657.09
211,Decentralized mission-critical concept,Home,594.4,319.41
212,Automated non-volatile service-desk,Home,465.25,252.03
213,Public-key executive adapter,Beauty,906.89,525.73
214,Diverse leadingedge time-frame,Books,656.29,295.95
215,Automated secondary orchestration,Electronics,825.49,455.29
216,Future-proofed dedicated array,Home,895.44,556.55
217,Monitored composite budgetary management,Home,534.48,248.22
218,Cross-group web-enabled utilization,Clothing,327.81,236.37
219,Robust web-enabled process improvement,Beauty,148.13,92.62
220,Pre-emptive bottom-line leverage,Home,597.75,299.84
221,Programmable intangible success,Clothing,861.13,459.75
222,Enterprise-wide grid-enabled projection,Books,192.03,83.81
223,Open-architected system-worthy array,Sports,479.18,232.04
224,Multi-layered incremental encoding,Electronics,949.36,725.79
225,Optimized next generation moratorium,Home,409.72,232.29
226,Open-architected encompassing secured line,Beauty,963.23,673.61
227,Networked scalable secured line,Sports,870.07,658.07
228,Mandatory secondary adapter,Electronics,263.84,142.29
229,Horizontal well-modulated Graphic Interface,Books,395.65,221.12
230,Multi-tiered object-oriented info-mediaries,Books,220.06,99.87
231,Adaptive zero administration synergy,Books,181.06,72.89
232,Operative cohesive model,Books,118.69,93.16
233,Monitored discrete info-mediaries,Beauty,657.07,400.87
234,Versatile responsive protocol,Home,216.24,136.59
235,Up-sized mobile function,Sports,621.12,324.07
236,Robust composite open architecture,Books,685.67,537.41
237,Self-enabling asymmetric moderator,Clothing,449.51,308.77
238,Phased asynchronous workforce,Clothing,766.97,482.23
239,Virtual asynchronous solution,Electronics,895.36,696.63
240,Exclusive tertiary installation,Home,222.31,150.06
241,Focused grid-enabled throughput,Electronics,475.59,379.06
242,Horizontal content-based capability,Home,682.6,371.96
243,Focused dynamic capability,Electronics,325.42,204.25
244,Cross-group system-worthy circuit,Books,388.54,183.52
245,Synergized mobile synergy,Home,545.53,377.65
246,Business-focused intermediate success,Home,834.2,349.69
247,Horizontal foreground function,Home,883.23,604.88
248,Polarized multi-tasking utilization,Home,428.46,213.42
249,Expanded object-oriented synergy,Electronics,707.54,343.87
250,Streamlined non-volatile adapter,Books,212.55,103.96
251,Grass-roots optimal leverage,Books,751.08,563.32
